Keys,English (Canada),French (Canada)
##mainmenu_options_keybindings_plugl,Select L Plug,Sélectionner Mortaise en L
##mainmenu_options_keybindings_plugt,Select T Plug,Sélectionner Mortaise en T
##mainmenu_options_keybindings_plugx,Select X Plug,Sélectionner Mortaise en X
##mainmenu_options_keybindings_archbrick,Select Arch Brick,Sélectionner Arche
##mainmenu_options_keybindings_pillar,Select Pillar,Sélectionner Pilier
##mainmenu_options_keybindings_roundbrick,Select Round Brick,Sélectionner Brique Ronde
##mainmenu_options_keybindings_roundright,Select Round Brick Right,Sélectionner Brique Ronde (droite)
##mainmenu_options_keybindings_roundleft,Select Round Brick Left,Sélectionner Brique Ronde (gauche)
##mainmenu_options_keybindings_roundhalf,Select Round Brick Half,Sélectionner Demie-Brique Ronde
##mainmenu_options_keybindings_parapet,Select Parapet,Sélectionner Parapet
##mainmenu_options_keybindings_parapet2,Select Parapet2,Sélectionner Parapet2
##mainmenu_options_keybindings_parapet3,Select Parapet3,Sélectionner Parapet3
##mainmenu_options_keybindings_halfbrick,Select Half Brick,Sélectionner Demie-Brique
##mainmenu_options_keybindings_plank,Select Plank,Sélectionner Planche
##mainmenu_options_keybindings_corbel,Select Corbel,Sélectionner Corbel
##mainmenu_options_keybindings_corbel2,Select Corbel2,Sélectionner Corbel2
##mainmenu_options_keybindings_woodenramp,Select Wood Ramp,Sélectionner Rampe
##mainmenu_options_keybindings_log,Select Log,Sélectionner Billot
##mainmenu_options_keybindings_brace,Select Brace,Sélectionner Équerre
##mainmenu_options_keybindings_rampjunction,Select Ramp Junction,Sélectionner Jonction
##mainmenu_options_keybindings_woodcolumn,Select Wood Column,Sélectionner Colonne
##mainmenu_options_keybindings_woodbeam,Select Wood Beam,Sélectionner Poutre
##mainmenu_options_keybindings_merlon,Select Merlon,Sélectionner Merlon
##mainmenu_options_keybindings_merlondouble,Select Merlon Double,Sélectionner Merlon Double
##mainmenu_options_keybindings_merloncorner,Select Merlon Convex,Sélectionner Merlon Convexe
##mainmenu_options_keybindings_merlonconcave,Select Merlon Concave,Sélectionner Merlon Concave
,,
##mainmenu_options_keybindings_terrain_menutoggle,Toggle terrain menu,Commuter menu de terrain
##mainmenu_options_keybindings_markers_menutoggle,Toggle markers menu,Commuter menu de marqueurs
##mainmenu_options_keybindings_time_menutoggle,Toggle time menu,Commuter menu de temps
##mainmenu_options_keybindings_map_menutoggle,Toggle map menu,Commuter menu de carte
##mainmenu_options_keybindings_grid_menutoggle,Toggle grid menu,Commuter menu de grille
##mainmenu_options_keybindings_modes_menutoggle,Toggle modes menu,Commuter menu des modes
##mainmenu_options_keybindings_saves_menutoggle,Toggle save menu,Commuter menu de sauvegarde
##mainmenu_options_keybindings_workshop_menutoggle,Toggle workshop menu,Commuter menu workshop
##mainmenu_options_keybindings_letters_menutoggle,Toggle letters menu,Commuter menu des lettres
##mainmenu_options_keybindings_grid_toggle,Toggle grid,Commuter grille
,,
##mainmenu_options_keybindings_tool_underside,Underside brush,Outil à sous-sol
##mainmenu_options_keybindings_tool_create,Create island brush,Outil à création d'ile
##mainmenu_options_keybindings_tool_raise,Raise brush,Outil à élévation
##mainmenu_options_keybindings_tool_flatten,Flatten brush,Outil à aplanir
##mainmenu_options_keybindings_tool_smooth,Smooth brush,Outil à adoucissement
##mainmenu_options_keybindings_tool_grass,Grass brush,Outil à gazon
##mainmenu_options_keybindings_tool_tree,Tree brush,Outil à arbres
##mainmenu_options_keybindings_tool_plant,Plant brush,Outil à plantes
##mainmenu_options_keybindings_tool_boulder,Boulder brush,Outil à rochers
##mainmenu_options_keybindings_tool_iron,Iron brush,Outil à fer
##mainmenu_options_keybindings_tool_brimstone,Brimstone brush,Outil à soufre
,,
##mainmenu_options_keybindings_tool_player,Player brush,Outil à joueur
##mainmenu_options_keybindings_tool_enemy,Enemy brush,Outil à ennemi
##mainmenu_options_keybindings_tool_crystal,Crystal brush,Outil à cristal
,,
##mainmenu_options_key_space,Space,Espace
##mainmenu_options_key_leftshift,Left Shift,Shift gauche
##mainmenu_options_key_rightshift,Right Shift,Shift droite
##mainmenu_options_key_leftalt,Left Alt,Alt gauche
##mainmenu_options_key_rightalt,Right Alt,Alt droite
##mainmenu_options_key_leftctrl,Left Ctrl,Ctrl gauche
##mainmenu_options_key_rightctrl,Right Ctlr,Ctrl droite
##mainmenu_options_key_leftarrow,Left Arrow,Flèche gauche
##mainmenu_options_key_rightarrow,Right Arrow,Flèche droite
##mainmenu_options_key_uparrow,Up Arrow,Flèche haut
##mainmenu_options_key_downarrow,Down Arrow,Flèche bas
##mainmenu_options_key_delete,Delete,Retour arrière
##mainmenu_options_key_insert,Insert,Inser
##mainmenu_options_key_home,Home,Accueil
##mainmenu_options_key_end,End,Fin
##mainmenu_options_key_mwu,Mouse Wheel Up,Molette de la souris: Haut
##mainmenu_options_key_mwd,Mouse Wheel Down,Molette de la souris: Bas
##mainmenu_options_key_mw,MouseWheel,Molette de la souris
##mainmenu_options_key_lmb,Left Mouse Button,Touche gauche de la souris
##mainmenu_options_key_rmb,Right Mouse Button,Touche droite de la souris
##mainmenu_options_key_mmb,Middle Mouse Button,Touche du milieu de la souris
##mainmenu_options_key_xxxmb,#xxx Mouse Button,Touche #xxx de la souris
,,
##mainmenu_options_assignkeybind,Assign Key Binding,Assignation d'une nouvelle touche
##mainmenu_options_assignkeybind_message,Press any key to assign or press #xxx to unassign.,Appuyez sur une touche pour l'assigner ou appuyez sur #xxx pour désassigner.
##mainmenu_options_assignkeybind_conflict,Conflict,Conflit
##mainmenu_options_assignkeybind_unbindwarning,Clicking Ok will unbind conflicting keys.,Appuyer sur Ok va désassigner les touches en conflit.
##mainmenu_options_assignkeybind_ok,Ok,Ok
##mainmenu_options_assignkeybind_cancel,Cancel,Annuler
##mainmenu_options_assignkeybind_none,None,Aucune
,,
##mainmenu_options_revert,Revert,Réinitialiser
##mainmenu_options_revert_message,Are you sure you want to discard all of your custom settings?,Êtes-vous certain de vouloir vous débarasser de toutes vos configurations personalisées?
##mainmenu_options_revert_message_ok,Yes - Revert to factory settings,Oui - Réinitialiser aux configurations d'origine
##mainmenu_options_revert_message_cancel,No - Cancel,Non - Annuler
,,
##mainmenu_options_unsaved,Unsaved changes,Changements non sauvegardés
##mainmenu_options_unsaved_message,You are about to leave.\nApply unsaved changes?,Vous vous apprêtez à quitter.\nDésirez-vous sauvegarder vos changements?
##mainmenu_options_unsaved_apply,"Yes, apply.","Oui, appliquer."
##mainmenu_options_unsaved_discard,"No, discard.","Non, renoncer."
##mainmenu_options_unsaved_cancel,Decide later - Go back to the options menu,Décidez plus tard - De retour vers le menu d'options
,,
##mainmenu_options_enabled,Enabled,Activé
##mainmenu_options_disabled,Disabled,Désactivé
,,
##mainmenu_ok,Ok,Ok
##mainmenu_cancel,Cancel,Annuler
,,
##mainmenu_exit,Exit,Quitter
##mainmenu_exit_message,Are you sure you want to exit the application?,Êtes-vous sûr de vouloir quitter?
##mainmenu_exit_confirmexit,Exit,Quitter
##mainmenu_exit_cancelexit,Cancel,Annuler
,,
##mainmenu_wiki,Wiki,Wiki
##mainmenu_home,Home,Accueil
##mainmenu_news,Latest News,Nouvelles
,,
LOADING,,
##loading_title_waitingplayers,Waiting for other players,En attente des autres joueurs
##loading_title_waitinghost,Waiting for host,En attente de l'hôte
##loading_title_step1,Initializing scripts,Initialisation des scripts
##loading_title_step2,Physicalizing landform,Formation du terrain
##loading_title_step3,Planting trees,Génération des arbres
##loading_title_step4,Growing crystals,Génération des cristaux
##loading_title_step5,Entering world...,Entrée dans le monde...
##loading_title_error,Error,Erreur
##loading_title_tips,Tips and Tricks,Trucs et Astuces
##loading_title_warning,Warning,Avertissement
##loading,Loading,Chargement
##loading_abort_message,":( A problem occurred during loading. Please try again! If this keeps happening, you may have corrupted files. Uninstall the game, delete local files and reinstall the game. You can also contact us on support.castlestory.net ",":( Un problème s'est produit pendant le chargement. Si cette situation vous arrive régulièrement, contactez-nous sur support.castlestory.net"
##loading_ok,Ok,Ok
##loading_abort,Abort,Arrêter
##loading_cancel,Cancel,Annuler
##loading_back,Back to main menu,Retour au menu principal
,,
GAME MENU,,
##gamemenu,Menu,Menu
##gamemenu_help,Help,Aide
##gamemenu_return,Back to game,Retour à la partie
##gamemenu_savegame,Save game,Sauvegarder la partie
##gamemenu_savegame_info,Save your progress,Sauvegarder votre progrès
##gamemenu_savegame_newsave,New save,Nouvelle sauvegarde
##gamemenu_savegame_similar,Similar,Similaire
##gamemenu_savegame_other,Other,Autre
##gamemenu_savegame_preview,Preview,Prévisualisation
##gamemenu_savegame_fromcamera,From Camera,À Partir de la Caméra
##gamemenu_savegame_fromsave,From Save,À Partir de la Sauvegarde
##gamemenu_savegame_save,Save,Sauvegarder
##gamemenu_savegame_overwrite,Save (Overwrite),Sauvegarder (Écraser)
##gamemenu_savegame_untitled_filename,Untitled,SansNom
##gamemenu_savegame_failure,Save Failure,Sauvegarde Échouée
##gamemenu_savegame_failure_message,Could not save game. Please try again.,La sauvegarde a échouée. Réessaye donc pour voir.
##gamemenu_savegame_failure_ok,Ok,Ah ok.
##gamemenu_savegame_name,Name,Nom
##gamemenu_savegame_name_info,Type in a name for your save,Assigner un nom à votre sauvegarde
,,
##gamemenu_cancel,Cancel,Annuler
##gamemenu_quit,Quit,Quitter
##gamemenu_quit_info,Return to main menu,Retourner au menu principal
##gamemenu_quit_game,Quit Game,Quitter la partie
##gamemenu_quit_message,"Are you sure you want to quit the current game?
<color=red>All unsaved changes will be lost.</color>","Êtes-vous sûr de vouloir quitter la partie en cours?
<color=red>Tous les changements non-sauvegardés seront perdus.</color>"
##gamemenu_quit_exitdesktop,Exit to desktop,Quitter l'application
##gamemenu_quit_leavegame,Leave game,Quitter la partie
,,
##gamemenu_score,Score,Score
##gamemenu_home,Home,Menu
##gamemenu_paused,Game Paused,Jeu en Pause
##gamemenu_paused_text,Press P to unpause,Appuyez sur P pour revenir au jeu
,,
,,
HELP POPUPS,,
##gamemenu_help_popup_intro,Getting Started,Premiers Pas
##gamemenu_help_popup_intro_text,<color=#ffc50a>This is your Home Crystal</color>. Protect it at all costs!,"Les <color=#ffc50a>Bulles d'Aide</color> suivantes vous enseignerons les premières étapes du jeu. \n
Lorsque vous complétez les instructions dans une bulle d'aide, le <color=#ffc50a>bouton suivant</color> sera activé et vous pourrez ouvrir la prochaine. \n"
##gamemenu_help_popup_intro_tooltip,<color=#ffc50a>This is your Home Crystal</color>,<color=#ffc50a>Ceci est votre Cristal Principal</color>
##gamemenu_help_popup_movecamera,Moving the Camera,Bouger la Caméra
##gamemenu_help_popup_movecamera_text,"- Use the <color=#ffc50a>W, A, S and D</color> keys to move the camera around.","- Utilisez les touches <color=#ffc50a>W, A, S et D</color> pour bouger la caméra."
##gamemenu_help_popup_rotatecamera,Rotating the Camera,Tourner la Caméra
##gamemenu_help_popup_rotatecamera_text,"- Hold the <color=#ffc50a>Middle Mouse Button</color> to rotate the camera in any angle. \n
- You can also use the <color=#ffc50a>Q, E, PgUp and PgDn</color> keys to rotate and zoom the camera.","- Tenez enfoncé le <color=#ffc50a>Bouton du Milieu de la Souris</color> pour tourner la caméra sur n'importe que axe. \n
- Vous pouvez aussi utiliser les touches <color=#ffc50a>Q, E, PgUp et PgDn</color> pour tourner la caméra."
##gamemenu_help_popup_homecrystal,Home Crystal,Cristal Principal
##gamemenu_help_popup_homecrystal_text,,
##gamemenu_help_popup_homecrystal_tooltip,This is your <color=#ffc50a>Home Crystal</color>. Protect it at all costs!,Ceci est votre <color=#ffc50a>Cristal Principal</color>. Protégez-le à tout prix!
##gamemenu_help_popup_harvestwood,Harvesting Wood,Récolter du Bois
##gamemenu_help_popup_harvestwood_text,"- Click on the <color=#ffc50a>Pickaxe</color> on the left side of your screen. \n
- Select the <color=#ffc50a>Harvest Trees task</color>. \n
- Place it on some trees. \n
- Click on the <color=#00ff15>green checkmark</color> at the bottom left of your screen, or press <color=#ffc50a>""Tab""</color> to confirm. \n
Your Bricktrons will automatically start harvesting some wood for you!","- Cliquez sur la <color=#ffc50a>Pioche</color> dans le coin en bas à gauche de votre écran. \n
- Sélectionnez la <color=#ffc50a>Tâche de Récolte de Bois</color>. \n
- Placez-la sur des arbres. \n
- Cliquez sur le <color=#00ff15>crochet vert</color> dans le coin en bas à gauche de votre écran, ou appuyez sur <color=#ffc50a>""Tab""</color> pour confirmer. \n
Vos Bricktrons vont automatiquement commencer leur collecte de bois!"
##gamemenu_help_popup_makechoppingblock,Making Planks,Faire des Planches
##gamemenu_help_popup_makechoppingblock_text,"- Select the <color=#ffc50a>Structures tab</color> on the left side of your screen. \n 
- In the <color=#ffc50a>Production</color> section, select the <color=#ffc50a>Chopping Block</color>. \n
- Place it on the ground. \n
You can <color=#ffc50a>delete blueprints</color> by <color=#ffc50a>ctrl + clicking</color> on the blueprint when in edit mode. \n
- Click on the <color=#00ff15>green checkmark</color> at the bottom left of your screen, or press <color=#ffc50a>""Tab""</color> to confirm. \n
Bricktrons will automatically begin to haul logs to the chopping block and <color=#ffc50a>produce planks</color>.","- Sélectionnez <color=#ffc50a>Structures</color>. \n
- Dans la section <color=#ffc50a>Production</color>, sélectionnez le <color=#ffc50a>Bloc de Coupe</color>. \n
- Placez-le par terre. \n
Vous pouvez <color=#ffc50a>effacer vos plans</color> en faisant <color=#ffc50a>ctrl + clic</color> sur le plan en mode ""edition"". \n
- Cliquez sur le <color=#00ff15>crochet vert</color> dans le coin en bas à gauche de votre écran, ou appuyez sur <color=#ffc50a>""Tab""</color> pour confirmer. \n
Vos Bricktrons vont commencer à ramener du bois au bloc pour en faire des <color=#ffc50a>planches</color>."
##gamemenu_help_popup_buildstockpiles,Build Stockpiles,Construire des Palettes
##gamemenu_help_popup_buildstockpiles_text,"- Select the <color=#ffc50a>Structures tab</color> on the left side of your screen. \n 
- In the <color=#ffc50a>Storage</color> section, select the <color=#ffc50a>Stockpile</color>. \n
- Place several on the ground by clicking several times, or dragging across a flat surface. \n
You can <color=#ffc50a>delete blueprints</color> by <color=#ffc50a>ctrl + clicking</color> on the blueprint when in build mode. \n
- Click on the <color=#00ff15>green checkmark</color> at the bottom left of your screen, or press <color=#ffc50a>""Tab""</color> to confirm. \n
If your Bricktrons won't work, make sure you have empty stockpiles.","- Sélectionnez <color=#ffc50a>Structures</color>. \n
- Dans la section <color=#ffc50a>Storage</color>, sélectionnez la <color=#ffc50a>Palette</color>. \n
- Placez-en plusieurs par terre. \n
Vous pouvez <color=#ffc50a>effacer vos plans</color> en faisant <color=#ffc50a>ctrl + clic</color> sur le plan en mode construction. \n
- Cliquez sur le <color=#00ff15>crochet vert</color> dans le coin en bas à gauche de votre écran, ou appuyez sur <color=#ffc50a>""Tab""</color> pour confirmer. \n
Si vos Bricktrons refusent de travailler, c'est souvent parce que vous n'avez pas de palettes libres."
##gamemenu_help_popup_harveststone,Digging a Quarry,Creuser une Carrière
##gamemenu_help_popup_harveststone_text,"- Click on the <color=#ffc50a>Pickaxe</color> on the left side of your screen. \n
- Select the <color=#ffc50a>Quarry task</color>. \n
- Place it on <color=##fc50a>empty ground</color>. \n
- Click on the <color=#00ff15>green checkmark</color> at the bottom left of your screen, or press <color=#ffc50a>""Tab""</color> to confirm. \n
When a stockpile is <color=#ffc50a>completely filled with stone</color>, the stone will turn into <color=#ffc50a>4 bricks</color>. \n","- Cliquez sur la <color=#ffc50a>Pioche</color> dans le coin en bas à gauche de votre écran. \n
- Sélectionnez la <color=#ffc50a>Tâche D'Excavation</color>. \n
- Placez-la sur le <color=##fc50a>sol</color>. \n
- Cliquez sur le <color=#00ff15>crochet vert</color> dans le coin en bas à gauche de votre écran, ou appuyez sur <color=#ffc50a>""Tab""</color> pour confirmer. \n
Lorsqu'une palette est remplie de garnotte, cette garnotte va se transformer en <color=#ffc50a>4 blocs de pierre</color>."
##gamemenu_help_popup_buildtips,Construction Tips,Astuces de Construction
##gamemenu_help_popup_buildtips_text,"Here are some useful construction tips. \n
You can <color=#ffc50a>rotate blueprints</color> before placing them them by <color=#ffc50a>right-clicking</color>. \n
You can <color=#ffc50a>delete blueprints</color> by <color=#ffc50a>ctrl + clicking</color> on the blueprint when in edit mode. \n
You can ask Bricktrons to <color=#ffc50a>destroy a construction</color> by <color=#ffc50a>ctrl + clicking</color> on it when in a build task. \n
You can <color=#ffc50a>duplicate, move, and manipulate blueprints</color> by using the Blueprints tool in the Plans tab on the left middle side of your screen when in a build task.","Voici quelques astuces de construction. \n
Vous pouvez <color=#ffc50a>tourner vos blocs</color> avant de les placer en appuyant sur <color=#ffc50a>Clic-Droit</color>. \n
Vous pouvez <color=#ffc50a>effacer vos plans</color> en faisant <color=#ffc50a>ctrl + clic</color> sur le plan en mode ""edition"". \n
Vous pouvez demander à vos Bricktrons de <color=#ffc50a>détruire une construction</color> en faisant <color=#ffc50a>ctrl + clic</color> quand vous êtes dans une Tâche de Construction. \n
Vous pouvez <color=#ffc50a>dupliquer, bouger et manipuler les plans</color> en utilisant les outils de planification sous l'onglet ""Plans"" au milieu à gauche de votre écran lorsque vous êtes dans une Tâche de Construction."
##gamemenu_help_popup_buildfurnace,Build a Furnace,Bâtir une Fournaise
##gamemenu_help_popup_buildfurnace_text,"- Select the <color=#ffc50a>Structures tab</color> on the left side of your screen. \n 
- Select the <color=#ffc50a>Furnace</color>. \n
- Place one by clicking on the ground. \n
You can <color=#ffc50a>rotate blueprints</color> before placing them them by <color=#ffc50a>right-clicking</color>. \n
- Click on the <color=#00ff15>green checkmark</color> at the bottom left of your screen, or press <color=#ffc50a>""Tab""</color> to confirm. \n
With a furnace, you can now use iron ore and brimstone to obtain iron ingots.","- Sélectionnez <color=#ffc50a>Structures</color>. \n
- Sélectionnez la <color=#ffc50a>Fournaise</color>. \n
- Placez-en une en cliquant sur le sol. \n
Vous pouvez <color=#ffc50a>tourner vos blocs</color> avant de les placer en appuyant sur <color=#ffc50a>Clic-Droit</color>. \n
- Cliquez sur le <color=#00ff15>crochet vert</color> dans le coin en bas à gauche de votre écran, ou appuyez sur <color=#ffc50a>""Tab""</color> pour confirmer. \n
Vous pouvez maintenant transformer votre soufre et votre fer en lingots de fer."
##gamemenu_help_popup_harvestbrimstoneiron,Iron & Brimstone,Obtenir du Fer et du Soufre
##gamemenu_help_popup_harvestbrimstoneiron_text,"Iron and Brimstone are useful to produce iron ingots, wards and other items and structures. \n
Harvest some iron AND brimstone. \n
- Click on the <color=#ffc50a>Pickaxe</color> on the left side of your screen. \n
- Select the <color=#ffc50a>Iron or Brimstone harvest task</color>. \n
- Place it on a patch of iron or brimstone. \n
- <color=#00ff15>Confirm</color>. \n
You need to gather <color=#ffc50a>both iron and brimstone</color> to complete this objective. \n
<b>Make sure to have available stockpiles!</b>","Le Fer et le Soufre sont nécéssaires pour produire des lingots de fer, ceux-ci étant utilisés dans la fabrication de balises et d'autres structures. \n
Vous devez récolter du fer ET du Soufre. \n
- Cliquez sur le <color=#ffc50a>Pioche</color> dans le coin en bas à gauche de votre écran. \n
- Sélectionnez la <color=#ffc50a>Tâche de Récolte de Fer ou celle de Soufre</color>. \n
- Placez-la sur une veine de fer ou de soufre. \n
- <color=#00ff15>Confirmez</color>. \n
Vous devez ramasser les <color=#ffc50a>deux ressources.</color> \n
<b>Assurez-vous d'avoir assez de palettes vides! </b>"
##gamemenu_help_popup_buildworkbench,Build a Workbench,Construire un Établi
##gamemenu_help_popup_buildworkbench_text,"- Make sure you have planks in one of your stockpiles. \n
- Select the <color=#ffc50a>Structures</color> tab. \n 
- In the <color=#ffc50a>Crafting</color> section, select the <color=#ffc50a>Workbench</color>. \n
- Place it on the ground. \n
- <color=#00ff15>Confirm</color>. \n
The workbench will allow you to craft archer and halberdier kits.","- Assurez-vous d'avoir des planches dans une palette. \n
- Sélectionnez <color=#ffc50a>Structures</color>. \n
- Dans la section <color=#ffc50a>Crafting</color>, sélectionnez L'<color=#ffc50a>Établi</color>. \n
- Placez-le par terre. \n
- <color=#00ff15>Confirmez</color>. \n
L'Établi vous permettra de fabriquer des kits d'archer et d'hallebardier."
##gamemenu_help_popup_queueironingots,Make Iron Ingots,Obtenir des Lingots de Fer
##gamemenu_help_popup_queueironingots_text,"- Select your <color=#ffc50a>furnace</color>. \n 
- A pop-up menu will open at the bottom of your screen. \n
- <color=#ffc50a>Click on the Iron ingot.</color> \n
- You can queue multiple ingots. \n
<color=#ffc50a> Make sure to have an empty stockpile to store your ingots.</color>","- Sélectionnez la <color=#ffc50a>Fournaise</color>. \n
- Une fenêtre contextuelle s'ouvrira en bas de votre écran. \n
- <color=#ffc50a>Cliquez sur le Lingot de Fer.</color> \n
- Vous pouvez ajouter plusieurs lingots à la file de production. \n
<color=#ffc50a>Assurez-vous d'avoir des palettes vides pour entreposer vos lingots.</color>"
##gamemenu_help_popup_buildweaponrack,Build Weapon Rack,Construire un Râtelier
##gamemenu_help_popup_buildweaponrack_text,"- Make sure you have planks in one of your stockpiles. \n
- Select the <color=#ffc50a>Structures tab</color>. \n 
- In the Storage section, select the <color=#ffc50a>Weapon Rack</color>. \n
- Place it on the ground. \n
- <color=#00ff15>Confirm</color>. \n
The Bricktrons will store unused or newly crafted military equipment in the weapon rack.","- Assurez-vous d'avoir des planches dans une palette. \n
- Sélectionnez <color=#ffc50a>Structures</color>. \n
- Dans la section Storage, sélectionnez le <color=#ffc50a>Râtelier</color>. \n
- Placez-le par terre. \n
- <color=#00ff15>Confirmez</color>. \n
Vos Bricktrons entreposeront l'équipement militaire que vous fabriquez dans ces râteliers pour usage ultérieur."
##gamemenu_help_popup_queuehalberdier,Queue Halberdier Kit,Fabriquer un Kit D'Hallebardier
##gamemenu_help_popup_queuehalberdier_text,"- <color=#ffc50a>Select your workbench.</color> \n
- At the bottom of your screen, with the workbench pop-up, you can select what you want to craft. \n
- Click on the <color=#ffc50a>Halberdier Kit</color> to begin production. \n
- You can queue multiple kits by clicking on the Halberdier kit again. \n
<color=#ffc50a> Make sure to have an empty weapon rack to store your kits.</color> \n
A weapon racks can only hold <color=#ffc50a>4 military kits of a single type at once.</color>","- <color=#ffc50a>Sélectionnez L'Établi.</color> \n
- Au bas de votre écran, avec la fenêtre contextuelle de l'établi, vous pouvez sélectionner ce que vous désirez produire. \n
- <color=#ffc50a>Cliquez sur le le Kit d'Hallebardier.</color> pour commencer la production \n
- Vous pouvez ajouter plusieurs kits à la file de production en cliquant sur l'icône plusieurs fois. \n
<color=#ffc50a>Assurez vous d'avoir un râtelier vide pour entreposer vos kits.</color> \n
Les râteliers peuvent entreposer jusqu'à <color=#ffc50a>4 kits de la même sorte par râtelier</color>."
##gamemenu_help_popup_equiphalberdier,Equip Halberdier Kit,Équiper un Hallebardier
##gamemenu_help_popup_equiphalberdier_text,"- Select a <color=#ffc50a>Bricktron</color>. \n
- <color=#ffc50a>Right-click</color> (don't hold right-click) on the <color=#ffc50a>weapon rack containing the Halberdier Kit</color>. \n
To unequip the kit, select the Halberdier and right-click an empty weapon stand or one that contains 3 or less Halberdier kits.","- Sélectionnez un <color=#ffc50a>Bricktron</color>. \n
- Faites <color=#ffc50a>Clic-Droit</color> sur le <color=#ffc50a>râtelier contenant un kit d'hallebardier</color>. \n
Pour le déséquiper, faites Clic-Droit à nouveau sur un râtelier."
##gamemenu_help_popup_craftlantern,Craft a Lantern,Fabriquer une Lanterne
##gamemenu_help_popup_craftlantern_text,"The world of Castle Story has a <color=#ffc50a>Day / Night cycle</color>. \n
Fortunately, you can build <color=#ffc50a>Lanterns</color> to provide light and vision. \n
- Select the <color=#ffc50a>Workbench</color> and open the pie menu.
- Choose the <color=#ffc50a>Lantern</color>. \n
You will need an iron ingot and brimstone to craft a lantern.","Le monde de Castle Story a un <color=#ffc50a>cycle circadien</color>. \n
Heureusement, vous pouvez fabriquer des <color=#ffc50a>Lanternes</color> pour augmenter votre visibilité. \n
- Sélectionnez l'<color=#ffc50a>Établi</color> et ouvrez le menu contextuel. \n
- Choisissez la <color=#ffc50a>Lanterne</color>. \n
La lanterne requiert un lingot et du soufre pour être fabriquée."
##gamemenu_help_popup_placelantern,Placing Lanterns,Placer une Lanterne
##gamemenu_help_popup_placelantern_text,"Once you have stockpiled one or more <color=#ffc50a>Lanterns</color>, the easiest way to place them is with the <color=#ffc50a>Structures</color> tab. \n
Place a lantern blueprint where you want your Bricktrons to build it. They will carry it from the stockpile to the blueprint. \n
Optionally, link your lanterns to your home crystal with Pylons to make them shine brighter.",
##gamemenu_help_popup_buildingwall,Building a Wall,Construire un Mur
##gamemenu_help_popup_buildingwall_text,"- Select the <color=#ffc50a>Stone Blocks</color> tab. \n
- Select the <color=#ffc50a>Brick</color>. \n
You can now place them on the ground or on top of each other to start building walls! Don't hesitate to use the other blocks to make more complex structures too.","- Sélectionnez l'onglet <color=#ffc50a>Blocs de Pierre</color>. \n
- Sélectionnez la <color=#ffc50a>Brique</color>. \n
Vous pouvez placez ces blocs les uns par dessus les autres pour faire un mur! N'hésitez pas à utiliser les autres blocs pour bâtir des structures plus complexes.."
##gamemenu_help_popup_buildingwall_tooltip,<color=#ffa500ff>Build walls directly around your home crystal to protect it from Corruptrons.</color>,
##gamemenu_help_popup_plantsloom,Loom & Plants,Métier à Tisser et Fibre Végétale
##gamemenu_help_popup_plantsloom_text,"The Loom will allow you to refine plant fiber into rope and fabric, which are useful for military kits. \n
- Place a <color=#ffc50a>plant harvest task</color> over some plants and <color=#00ff15>confirm it</color>. \n
<color=#ffc50a>Make sure you have empty stockpiles to store the plants.</color> \n
- Place a <color=#ffc50a>loom blueprint</color> and <color=#00ff15>confirm it</color>. You'll find it under the structures tab under the Production section.","Le métier à tisser vous permettra de transformer de la fibre végétale en corde ou en textile, utile dans la confection d'équipement militaire.
- Placez une <color=#ffc50a>Tâche de Récolte</color> sur des plantes et <color=#00ff15>confirmez</color>. \n
<color=#ffc50a>Assurez-vous d'avoir des palettes vides pour entreposer vos plantes.</color> \n
- Placez le <color=#ffc50a>Métier à Tisser</color> sur le sol et <color=#00ff15>confirmez</color>. Vous le trouverez dans l'onglet Structures dans la section Production.
"
##gamemenu_help_popup_fabricrope,Making Rope & Fabric,Faire de la Corde et du Textile
##gamemenu_help_popup_fabricrope_text,"Now that you have plant fiber, lets make some rope and fabric. \n
- Select the loom. \n
- At the bottom of your screen, with the loom pop-up, you can select what you want to craft. \n
- Click on the <color=#ffc50a>Rope</color> to craft one rope coil. \n
Once you have some rope, select the loom again and click on the <color=#ffc50a>Fabric</color> to craft one fabric roll. \n
<color=#ffc50a>Make sure you have empty stockpiles to store both the fabric and the rope.</color>","Maintenant que vous avez de la fibre végétale, vous pouvez entreprendre la confection de corde et de textile. \n
- Sélectionnez le Métier à Tisser. \n
- Au bas de votre écran, avec la fenêtre contextuelle de l'établi, vous pouvez sélectionner ce que vous désirez produire. \n
- Cliquez sur la <color=#ffc50a>Corde</color> pour produire un ballot de corde. \n
Après avoir obtenu de la corde, sélectionnez le métier à tisser et cliquez sur le <color=#ffc50a>Textile</color> pour produire un rouleau de textile. \n
<color=#ffc50a>Assurez-vous d'avoir des palettes vides pour entreposer votre corde et votre textile.</color>"
##gamemenu_help_popup_queuearcher,Queue Archer Kit,Fabriquer un Kit D'Archer
