Keys,French (Canada)
##mainmenu_options_language_cancel,Annuler
##mainmenu_options_language_english,Anglais
##mainmenu_options_language_english_english,English
##mainmenu_options_language_french,Français
##mainmenu_options_language_french_english,French
,
##mainmenu_options_mouseinput,Souris
##mainmenu_options_mouseinput_scrollfactor,Vitesse du curseur
##mainmenu_options_mouseinput_scrollfactor_info,Ajustez le facteur de vitesse du curseur
##mainmenu_options_mouseinput_invertscroll,Inverser le défilement du curseur
##mainmenu_options_mouseinput_invertscroll_info,Basculez l'inversion du défilement du curseur
##mainmenu_options_mouseinput_lockinside,Verrouillage du curseur à l'écran
##mainmenu_options_mouseinput_lockinside_info,Verrouiller le curseur à l'intérieur de la fenêtre de jeu
##mainmenu_options_mouseinput_edgenudge,Activer le contrôle de l'écran avec la souris
##mainmenu_options_mouseinput_edgenudge_info,Basculez le contrôle de l'écran avec la souris
,
##mainmenu_options_keybindings,Contrôles
##mainmenu_options_keybindings_info,Ajustez vos contrôles
,
##mainmenu_options_keybindings_command,Global
##mainmenu_options_keybindings_command_info,Caméra et sélection
##mainmenu_options_keybindings_taskpanel,Panneau de Tâches
##mainmenu_options_keybindings_taskpanel_info,Sélectionner une tâche
##mainmenu_options_keybindings_blocks,Blocs
##mainmenu_options_keybindings_blocks_info,Sélectionner un bloc
##mainmenu_options_keybindings_structures,Structures
##mainmenu_options_keybindings_structures_info,Sélectionner un structure
##mainmenu_options_keybindings_worldeditor,Éditeur de Monde
##mainmenu_options_keybindings_worldeditor_info,Exclusif à l'éditeur de monde
##mainmenu_options_keybindings_crafting,Artisanat
##mainmenu_options_keybindings_crafting_info,Relié aux stations d'artisanat
##mainmenu_options_keybindings_blueprint,Gestion de Plans
##mainmenu_options_keybindings_blueprint_info,Mode gestion de plans
##mainmenu_options_keybindings_taskselected,Tâche Sélectionnée
##mainmenu_options_keybindings_taskselected_info,Actions génériques de tâches
,
##mainmenu_options_keybindings_primary,Primaire
##mainmenu_options_keybindings_alternate,Alternatif
##mainmenu_options_keybindings_moveforward,Avancer la Caméra
##mainmenu_options_keybindings_movebackward,Reculer la Caméra
##mainmenu_options_keybindings_moveleft,Bouger la Caméra vers la Gauche
##mainmenu_options_keybindings_moveright,Bouger la Caméra vers la Droite
##mainmenu_options_keybindings_rotateup,Rotation vers le Haut
##mainmenu_options_keybindings_rotatedown,Rotation vers le Bas
##mainmenu_options_keybindings_rotateleft,Rotation vers la Gauche
##mainmenu_options_keybindings_rotateright,Rotation vers la Droite
##mainmenu_options_keybindings_toggleautoground,Enchâsser Caméra au Sol
##mainmenu_options_keybindings_zoomin,Zoom Avant
##mainmenu_options_keybindings_zoomout,Zoom Arrière
##mainmenu_options_keybindings_moveup,Monter la Caméra
##mainmenu_options_keybindings_movedown,Descendre la Caméra
##mainmenu_options_keybindings_mousemovement,Mouvement Libre de la Caméra
##mainmenu_options_keybindings_mousealtaction,Action Alternative de la Souris 1
##mainmenu_options_keybindings_mousesecondary,Action Alternative de la Souris 2
##mainmenu_options_keybindings_displayoverheads,Afficher les Noms des Personnages
##mainmenu_options_keybindings_togglebuildmode,Commuter le Mode Construction
##mainmenu_options_keybindings_mouseaction1,Curseur Action 1
##mainmenu_options_keybindings_mouseaction2,Curseur Action 2
##mainmenu_options_keybindings_mouserotate,Rotation de la Caméra
##mainmenu_options_keybindings_bricktronhold,Bricktron: Rester en Place
##mainmenu_options_keybindings_bricktronstop,Stop
##mainmenu_options_keybindings_bricktronstance,Changement de Tactique
##mainmenu_options_keybindings_pause,Mettre sur Pause
##mainmenu_options_keybindings_selectproject1,Sélection du Projet 1
##mainmenu_options_keybindings_selectproject2,Sélection du Projet 2
##mainmenu_options_keybindings_selectproject3,Sélection du Projet 3
##mainmenu_options_keybindings_selectproject4,Sélection du Projet 4
##mainmenu_options_keybindings_selectproject5,Sélection du Projet 5
##mainmenu_options_keybindings_selectproject6,Sélection du Projet 6
##mainmenu_options_keybindings_selectproject7,Sélection du Projet 7
##mainmenu_options_keybindings_selectproject8,Sélection du Projet 8
##mainmenu_options_keybindings_selectproject9,Sélection du Projet 9
##mainmenu_options_keybindings_selectproject10,Sélection du Projet 10
##mainmenu_options_keybindings_openchat,Ouvrir le Clavardier
##mainmenu_options_keybindings_createproject,Nouvelle Tâche
##mainmenu_options_keybindings_createharvest,Tâche de Récolte
##mainmenu_options_keybindings_createharvestwood,Tâche de Récolte de Bois
##mainmenu_options_keybindings_createharvestboulder,Tâche de Récolte de Pierre
##mainmenu_options_keybindings_createharvestiron,Tâche de Récolte de Fer
##mainmenu_options_keybindings_createharvestbrimstone,Tâche de Récolte de Soufre
##mainmenu_options_keybindings_createharvestplant,Tâche de Récolte de Plante
##mainmenu_options_keybindings_createcleaning,Tâche de Ménage
##mainmenu_options_keybindings_createquarry,Tâche de Carrière
##mainmenu_options_keybindings_createrepair,Tâche de Réparation
##mainmenu_options_keybindings_createbuild,Tâche de Construction
##mainmenu_options_keybindings_createlandscape,Tâche d'Aplanissement
##mainmenu_options_keybindings_createtunnel,Tâche de Tunnel
##mainmenu_options_keybindings_raisepriority,Augmenter Priorité de Tâche
##mainmenu_options_keybindings_lowerpriority,Baisser Priorité de Tâche
,
##mainmenu_options_keybindings_openblueprints,Ouvrir Gestion des Plans
##mainmenu_options_keybindings_taskactionslot1,Tâche Action 1
##mainmenu_options_keybindings_taskactionslot2,Tâche Action 2
##mainmenu_options_keybindings_taskactionslot3,Tâche Action 3
##mainmenu_options_keybindings_taskactionslot4,Tâche Action 4
##mainmenu_options_keybindings_taskactionslot5,Tâche Action 5
##mainmenu_options_keybindings_taskactionslot6,Tâche Action 6
##mainmenu_options_keybindings_deletetask,Supprimer Tâche
##mainmenu_options_keybindings_queueslot1,Station d'Artisanat Recette 1
##mainmenu_options_keybindings_queueslot2,Station d'Artisanat Recette 2
##mainmenu_options_keybindings_queueslot3,Station d'Artisanat Recette 3
##mainmenu_options_keybindings_queueslot4,Station d'Artisanat Recette 4
##mainmenu_options_keybindings_queueslot5,Station d'Artisanat Recette 5
##mainmenu_options_keybindings_toggleloop,Fabrication en Boucle
##mainmenu_options_keybindings_clearqueue,Vider la File
,
##mainmenu_options_keybindings_blueprints_duplicate,Dupliquer Plans Sélectionnés
##mainmenu_options_keybindings_blueprints_delete,Supprimer Plans Sélectionnés
##mainmenu_options_keybindings_blueprints_expand,Expanser Plans Sélectionnés
##mainmenu_options_keybindings_blueprints_clear,Enlever Plans Sélectionnés
,
##mainmenu_options_keybindings_calltoarms,Aux Armes!
##mainmenu_options_keybindings_backtowork,Retour au Travail
##mainmenu_options_keybindings_buildstructures,Bâtir des Structures
##mainmenu_options_keybindings_stockpile,Sélectionner Palette
##mainmenu_options_keybindings_weaponrack,Sélectionner Râtelier
##mainmenu_options_keybindings_workbench,Sélectionner Établi
##mainmenu_options_keybindings_loom,Sélectionner Métier à Tisser
##mainmenu_options_keybindings_choppingblock,Sélectionner Bloc de Coupe
##mainmenu_options_keybindings_forge,Sélectionner Forge
##mainmenu_options_keybindings_machineshop,Sélectionner Manufacture
##mainmenu_options_keybindings_altar,Sélectionner Autel
##mainmenu_options_keybindings_laboratory,Sélectionner Laboratoire
##mainmenu_options_keybindings_ropebridge,Sélectionner Pont de Corde
##mainmenu_options_keybindings_furnace,Sélectionner Fournaise
##mainmenu_options_keybindings_catapult,Sélectionner Catapulte
##mainmenu_options_keybindings_door,Sélectionner Porte
##mainmenu_options_keybindings_pylonward,Sélectionner Balise de Relais
##mainmenu_options_keybindings_sentinelward,Sélectionner Balise Sentinelle
##mainmenu_options_keybindings_healingward,Sélectionner Balise de Guérison
##mainmenu_options_keybindings_captureward,Sélectionner Balise de Capture
##mainmenu_options_keybindings_lanternward,Sélectionner Balise Lanterne
##mainmenu_options_keybindings_explosivebarrel,Sélectionner Baril Explosif
##mainmenu_options_keybindings_beartrap,Sélectionner Piège à Ours
##mainmenu_options_keybindings_buildblocks,Bâtir des Blocs
##mainmenu_options_keybindings_doublebrick,Sélectionner Brique Double
##mainmenu_options_keybindings_stairbrick,Sélectionner Escaliers
##mainmenu_options_keybindings_halfstair,Sélectionner Demi-Escaliers
##mainmenu_options_keybindings_stairspiralleft,Sélectionner Escaliers
##mainmenu_options_keybindings_stairspiralright,Sélectionner Escaliers en Spirale (droite)
##mainmenu_options_keybindings_staircornerleft,Sélectionner Escaliers en Spirale (gauche)
##mainmenu_options_keybindings_staircornerright,Sélectionner Escaliers en Coin (droite)
##mainmenu_options_keybindings_staircornersimple,Sélectionner Escaliers en Coin (gauche)
##mainmenu_options_keybindings_plugbrick,Sélectionner Mortaise
##mainmenu_options_keybindings_plugh,Sélectionner Mortaise en H
##mainmenu_options_keybindings_plugl,Sélectionner Mortaise en L
##mainmenu_options_keybindings_plugt,Sélectionner Mortaise en T
##mainmenu_options_keybindings_plugx,Sélectionner Mortaise en X
##mainmenu_options_keybindings_archbrick,Sélectionner Arche
##mainmenu_options_keybindings_pillar,Sélectionner Pilier
##mainmenu_options_keybindings_roundbrick,Sélectionner Brique Ronde
##mainmenu_options_keybindings_roundright,Sélectionner Brique Ronde (droite)
##mainmenu_options_keybindings_roundleft,Sélectionner Brique Ronde (gauche)
##mainmenu_options_keybindings_roundhalf,Sélectionner Demie-Brique Ronde
##mainmenu_options_keybindings_parapet,Sélectionner Parapet
##mainmenu_options_keybindings_parapet2,Sélectionner Parapet2
##mainmenu_options_keybindings_parapet3,Sélectionner Parapet3
##mainmenu_options_keybindings_halfbrick,Sélectionner Demie-Brique
##mainmenu_options_keybindings_plank,Sélectionner Planche
##mainmenu_options_keybindings_corbel,Sélectionner Corbel
##mainmenu_options_keybindings_corbel2,Sélectionner Corbel2
##mainmenu_options_keybindings_woodenramp,Sélectionner Rampe
##mainmenu_options_keybindings_log,Sélectionner Billot
##mainmenu_options_keybindings_brace,Sélectionner Équerre
##mainmenu_options_keybindings_rampjunction,Sélectionner Jonction
##mainmenu_options_keybindings_woodcolumn,Sélectionner Colonne
##mainmenu_options_keybindings_woodbeam,Sélectionner Poutre
##mainmenu_options_keybindings_merlon,Sélectionner Merlon
##mainmenu_options_keybindings_merlondouble,Sélectionner Merlon Double
##mainmenu_options_keybindings_merloncorner,Sélectionner Merlon Convexe
##mainmenu_options_keybindings_merlonconcave,Sélectionner Merlon Concave
,
##mainmenu_options_keybindings_terrain_menutoggle,Commuter menu de terrain
##mainmenu_options_keybindings_markers_menutoggle,Commuter menu de marqueurs
##mainmenu_options_keybindings_time_menutoggle,Commuter menu de temps
##mainmenu_options_keybindings_map_menutoggle,Commuter menu de carte
##mainmenu_options_keybindings_grid_menutoggle,Commuter menu de grille
##mainmenu_options_keybindings_modes_menutoggle,Commuter menu des modes
##mainmenu_options_keybindings_saves_menutoggle,Commuter menu de sauvegarde
##mainmenu_options_keybindings_workshop_menutoggle,Commuter menu workshop
##mainmenu_options_keybindings_letters_menutoggle,Commuter menu des lettres
##mainmenu_options_keybindings_grid_toggle,Commuter grille
,
##mainmenu_options_keybindings_tool_underside,Outil à sous-sol
##mainmenu_options_keybindings_tool_create,Outil à création d'ile
##mainmenu_options_keybindings_tool_raise,Outil à élévation
##mainmenu_options_keybindings_tool_flatten,Outil à aplanir
##mainmenu_options_keybindings_tool_smooth,Outil à adoucissement
##mainmenu_options_keybindings_tool_grass,Outil à gazon
##mainmenu_options_keybindings_tool_tree,Outil à arbres
##mainmenu_options_keybindings_tool_plant,Outil à plantes
##mainmenu_options_keybindings_tool_boulder,Outil à rochers
##mainmenu_options_keybindings_tool_iron,Outil à fer
##mainmenu_options_keybindings_tool_brimstone,Outil à soufre
,
##mainmenu_options_keybindings_tool_player,Outil à joueur
##mainmenu_options_keybindings_tool_enemy,Outil à ennemi
##mainmenu_options_keybindings_tool_crystal,Outil à cristal
,
##mainmenu_options_key_space,Espace
##mainmenu_options_key_leftshift,Shift gauche
##mainmenu_options_key_rightshift,Shift droite
##mainmenu_options_key_leftalt,Alt gauche
##mainmenu_options_key_rightalt,Alt droite
##mainmenu_options_key_leftctrl,Ctrl gauche
##mainmenu_options_key_rightctrl,Ctrl droite
##mainmenu_options_key_leftarrow,Flèche gauche
##mainmenu_options_key_rightarrow,Flèche droite
##mainmenu_options_key_uparrow,Flèche haut
##mainmenu_options_key_downarrow,Flèche bas
##mainmenu_options_key_delete,Retour arrière
##mainmenu_options_key_insert,Inser
##mainmenu_options_key_home,Accueil
##mainmenu_options_key_end,Fin
##mainmenu_options_key_mwu,Molette de la souris: Haut
##mainmenu_options_key_mwd,Molette de la souris: Bas
##mainmenu_options_key_mw,Molette de la souris
##mainmenu_options_key_lmb,Touche gauche de la souris
##mainmenu_options_key_rmb,Touche droite de la souris
##mainmenu_options_key_mmb,Touche du milieu de la souris
##mainmenu_options_key_xxxmb,Touche #xxx de la souris
,
##mainmenu_options_assignkeybind,Assignation d'une nouvelle touche
##mainmenu_options_assignkeybind_message,Appuyez sur une touche pour l'assigner ou appuyez sur #xxx pour désassigner.
##mainmenu_options_assignkeybind_conflict,Conflit
##mainmenu_options_assignkeybind_unbindwarning,Appuyer sur Ok va désassigner les touches en conflit.
##mainmenu_options_assignkeybind_ok,Ok
##mainmenu_options_assignkeybind_cancel,Annuler
##mainmenu_options_assignkeybind_none,Aucune
,
##mainmenu_options_revert,Réinitialiser
##mainmenu_options_revert_message,Êtes-vous certain de vouloir vous débarasser de toutes vos configurations personalisées?
##mainmenu_options_revert_message_ok,Oui - Réinitialiser aux configurations d'origine
##mainmenu_options_revert_message_cancel,Non - Annuler
,
##mainmenu_options_unsaved,Changements non sauvegardés
##mainmenu_options_unsaved_message,Vous vous apprêtez à quitter.\nDésirez-vous sauvegarder vos changements?
##mainmenu_options_unsaved_apply,"Oui, appliquer."
##mainmenu_options_unsaved_discard,"Non, renoncer."
##mainmenu_options_unsaved_cancel,Décidez plus tard - De retour vers le menu d'options
,
##mainmenu_options_enabled,Activé
##mainmenu_options_disabled,Désactivé
,
##mainmenu_ok,Ok
##mainmenu_cancel,Annuler
,
##mainmenu_exit,Quitter
##mainmenu_exit_message,Êtes-vous sûr de vouloir quitter?
##mainmenu_exit_confirmexit,Quitter
##mainmenu_exit_cancelexit,Annuler
,
##mainmenu_wiki,Wiki
##mainmenu_home,Accueil
##mainmenu_news,Nouvelles
,
LOADING,
##loading_title_waitingplayers,En attente des autres joueurs
##loading_title_waitinghost,En attente de l'hôte
##loading_title_step1,Initialisation des scripts
##loading_title_step2,Formation du terrain
##loading_title_step3,Génération des arbres
##loading_title_step4,Génération des cristaux
##loading_title_step5,Entrée dans le monde...
##loading_title_error,Erreur
##loading_title_tips,Trucs et Astuces
##loading_title_warning,Avertissement
##loading,Chargement
##loading_abort_message,":( Un problème s'est produit pendant le chargement. Si cette situation vous arrive régulièrement, contactez-nous sur support.castlestory.net"
##loading_ok,Ok
##loading_abort,Arrêter
##loading_cancel,Annuler
##loading_back,Retour au menu principal
,
GAME MENU,
##gamemenu,Menu
##gamemenu_help,Aide
##gamemenu_return,Retour à la partie
##gamemenu_savegame,Sauvegarder la partie
##gamemenu_savegame_info,Sauvegarder votre progrès
##gamemenu_savegame_newsave,Nouvelle sauvegarde
##gamemenu_savegame_similar,Similaire
##gamemenu_savegame_other,Autre
##gamemenu_savegame_preview,Prévisualisation
##gamemenu_savegame_fromcamera,À Partir de la Caméra
##gamemenu_savegame_fromsave,À Partir de la Sauvegarde
##gamemenu_savegame_save,Sauvegarder
##gamemenu_savegame_overwrite,Sauvegarder (Écraser)
##gamemenu_savegame_untitled_filename,SansNom
##gamemenu_savegame_failure,Sauvegarde Échouée
##gamemenu_savegame_failure_message,La sauvegarde a échouée. Réessaye donc pour voir.
##gamemenu_savegame_failure_ok,Ah ok.
##gamemenu_savegame_name,Nom
##gamemenu_savegame_name_info,Assigner un nom à votre sauvegarde
,
##gamemenu_cancel,Annuler
##gamemenu_quit,Quitter
##gamemenu_quit_info,Retourner au menu principal
##gamemenu_quit_game,Quitter la partie
##gamemenu_quit_message,"Êtes-vous sûr de vouloir quitter la partie en cours?
<color=red>Tous les changements non-sauvegardés seront perdus.</color>"
##gamemenu_quit_exitdesktop,Quitter l'application
##gamemenu_quit_leavegame,Quitter la partie
,
##gamemenu_score,Score
##gamemenu_home,Menu
##gamemenu_paused,Jeu en Pause
##gamemenu_paused_text,Appuyez sur P pour revenir au jeu
,
,
HELP POPUPS,
##gamemenu_help_popup_intro,Premiers Pas
##gamemenu_help_popup_intro_text,"Les <color=#ffc50a>Bulles d'Aide</color> suivantes vous enseignerons les premières étapes du jeu. \n
Lorsque vous complétez les instructions dans une bulle d'aide, le <color=#ffc50a>bouton suivant</color> sera activé et vous pourrez ouvrir la prochaine. \n"
##gamemenu_help_popup_intro_tooltip,<color=#ffc50a>Ceci est votre Cristal Principal</color>
##gamemenu_help_popup_movecamera,Bouger la Caméra
##gamemenu_help_popup_movecamera_text,"- Utilisez les touches <color=#ffc50a>W, A, S et D</color> pour bouger la caméra."
##gamemenu_help_popup_rotatecamera,Tourner la Caméra
##gamemenu_help_popup_rotatecamera_text,"- Tenez enfoncé le <color=#ffc50a>Bouton du Milieu de la Souris</color> pour tourner la caméra sur n'importe que axe. \n
- Vous pouvez aussi utiliser les touches <color=#ffc50a>Q, E, PgUp et PgDn</color> pour tourner la caméra."
##gamemenu_help_popup_homecrystal,Cristal Principal
##gamemenu_help_popup_homecrystal_text,
##gamemenu_help_popup_homecrystal_tooltip,Ceci est votre <color=#ffc50a>Cristal Principal</color>. Protégez-le à tout prix!
##gamemenu_help_popup_harvestwood,Récolter du Bois
##gamemenu_help_popup_harvestwood_text,"- Cliquez sur la <color=#ffc50a>Pioche</color> dans le coin en bas à gauche de votre écran. \n
- Sélectionnez la <color=#ffc50a>Tâche de Récolte de Bois</color>. \n
- Placez-la sur des arbres. \n
- Cliquez sur le <color=#00ff15>crochet vert</color> dans le coin en bas à gauche de votre écran, ou appuyez sur <color=#ffc50a>""Tab""</color> pour confirmer. \n
Vos Bricktrons vont automatiquement commencer leur collecte de bois!"
##gamemenu_help_popup_makechoppingblock,Faire des Planches
##gamemenu_help_popup_makechoppingblock_text,"- Sélectionnez <color=#ffc50a>Structures</color>. \n
- Dans la section <color=#ffc50a>Production</color>, sélectionnez le <color=#ffc50a>Bloc de Coupe</color>. \n
- Placez-le par terre. \n
Vous pouvez <color=#ffc50a>effacer vos plans</color> en faisant <color=#ffc50a>ctrl + clic</color> sur le plan en mode ""edition"". \n
- Cliquez sur le <color=#00ff15>crochet vert</color> dans le coin en bas à gauche de votre écran, ou appuyez sur <color=#ffc50a>""Tab""</color> pour confirmer. \n
Vos Bricktrons vont commencer à ramener du bois au bloc pour en faire des <color=#ffc50a>planches</color>."
##gamemenu_help_popup_buildstockpiles,Construire des Palettes
##gamemenu_help_popup_buildstockpiles_text,"- Sélectionnez <color=#ffc50a>Structures</color>. \n
- Dans la section <color=#ffc50a>Storage</color>, sélectionnez la <color=#ffc50a>Palette</color>. \n
- Placez-en plusieurs par terre. \n
Vous pouvez <color=#ffc50a>effacer vos plans</color> en faisant <color=#ffc50a>ctrl + clic</color> sur le plan en mode construction. \n
- Cliquez sur le <color=#00ff15>crochet vert</color> dans le coin en bas à gauche de votre écran, ou appuyez sur <color=#ffc50a>""Tab""</color> pour confirmer. \n
Si vos Bricktrons refusent de travailler, c'est souvent parce que vous n'avez pas de palettes libres."
##gamemenu_help_popup_harveststone,Creuser une Carrière
##gamemenu_help_popup_harveststone_text,"- Cliquez sur la <color=#ffc50a>Pioche</color> dans le coin en bas à gauche de votre écran. \n
- Sélectionnez la <color=#ffc50a>Tâche D'Excavation</color>. \n
- Placez-la sur le <color=##fc50a>sol</color>. \n
- Cliquez sur le <color=#00ff15>crochet vert</color> dans le coin en bas à gauche de votre écran, ou appuyez sur <color=#ffc50a>""Tab""</color> pour confirmer. \n
Lorsqu'une palette est remplie de garnotte, cette garnotte va se transformer en <color=#ffc50a>4 blocs de pierre</color>."
##gamemenu_help_popup_buildtips,Astuces de Construction
##gamemenu_help_popup_buildtips_text,"Voici quelques astuces de construction. \n
Vous pouvez <color=#ffc50a>tourner vos blocs</color> avant de les placer en appuyant sur <color=#ffc50a>Clic-Droit</color>. \n
Vous pouvez <color=#ffc50a>effacer vos plans</color> en faisant <color=#ffc50a>ctrl + clic</color> sur le plan en mode ""edition"". \n
Vous pouvez demander à vos Bricktrons de <color=#ffc50a>détruire une construction</color> en faisant <color=#ffc50a>ctrl + clic</color> quand vous êtes dans une Tâche de Construction. \n
Vous pouvez <color=#ffc50a>dupliquer, bouger et manipuler les plans</color> en utilisant les outils de planification sous l'onglet ""Plans"" au milieu à gauche de votre écran lorsque vous êtes dans une Tâche de Construction."
##gamemenu_help_popup_buildfurnace,Bâtir une Fournaise
##gamemenu_help_popup_buildfurnace_text,"- Sélectionnez <color=#ffc50a>Structures</color>. \n
- Sélectionnez la <color=#ffc50a>Fournaise</color>. \n
- Placez-en une en cliquant sur le sol. \n
Vous pouvez <color=#ffc50a>tourner vos blocs</color> avant de les placer en appuyant sur <color=#ffc50a>Clic-Droit</color>. \n
- Cliquez sur le <color=#00ff15>crochet vert</color> dans le coin en bas à gauche de votre écran, ou appuyez sur <color=#ffc50a>""Tab""</color> pour confirmer. \n
Vous pouvez maintenant transformer votre soufre et votre fer en lingots de fer."
##gamemenu_help_popup_harvestbrimstoneiron,Obtenir du Fer et du Soufre
##gamemenu_help_popup_harvestbrimstoneiron_text,"Le Fer et le Soufre sont nécéssaires pour produire des lingots de fer, ceux-ci étant utilisés dans la fabrication de balises et d'autres structures. \n
Vous devez récolter du fer ET du Soufre. \n
- Cliquez sur le <color=#ffc50a>Pioche</color> dans le coin en bas à gauche de votre écran. \n
- Sélectionnez la <color=#ffc50a>Tâche de Récolte de Fer ou celle de Soufre</color>. \n
- Placez-la sur une veine de fer ou de soufre. \n
- <color=#00ff15>Confirmez</color>. \n
Vous devez ramasser les <color=#ffc50a>deux ressources.</color> \n
<b>Assurez-vous d'avoir assez de palettes vides! </b>"
##gamemenu_help_popup_buildworkbench,Construire un Établi
##gamemenu_help_popup_buildworkbench_text,"- Assurez-vous d'avoir des planches dans une palette. \n
- Sélectionnez <color=#ffc50a>Structures</color>. \n
- Dans la section <color=#ffc50a>Crafting</color>, sélectionnez L'<color=#ffc50a>Établi</color>. \n
- Placez-le par terre. \n
- <color=#00ff15>Confirmez</color>. \n
L'Établi vous permettra de fabriquer des kits d'archer et d'hallebardier."
##gamemenu_help_popup_queueironingots,Obtenir des Lingots de Fer
##gamemenu_help_popup_queueironingots_text,"- Sélectionnez la <color=#ffc50a>Fournaise</color>. \n
- Une fenêtre contextuelle s'ouvrira en bas de votre écran. \n
- <color=#ffc50a>Cliquez sur le Lingot de Fer.</color> \n
- Vous pouvez ajouter plusieurs lingots à la file de production. \n
<color=#ffc50a>Assurez-vous d'avoir des palettes vides pour entreposer vos lingots.</color>"
##gamemenu_help_popup_buildweaponrack,Construire un Râtelier
##gamemenu_help_popup_buildweaponrack_text,"- Assurez-vous d'avoir des planches dans une palette. \n
- Sélectionnez <color=#ffc50a>Structures</color>. \n
- Dans la section Storage, sélectionnez le <color=#ffc50a>Râtelier</color>. \n
- Placez-le par terre. \n
- <color=#00ff15>Confirmez</color>. \n
Vos Bricktrons entreposeront l'équipement militaire que vous fabriquez dans ces râteliers pour usage ultérieur."
##gamemenu_help_popup_queuehalberdier,Fabriquer un Kit D'Hallebardier
##gamemenu_help_popup_queuehalberdier_text,"- <color=#ffc50a>Sélectionnez L'Établi.</color> \n
- Au bas de votre écran, avec la fenêtre contextuelle de l'établi, vous pouvez sélectionner ce que vous désirez produire. \n
- <color=#ffc50a>Cliquez sur le le Kit d'Hallebardier.</color> pour commencer la production \n
- Vous pouvez ajouter plusieurs kits à la file de production en cliquant sur l'icône plusieurs fois. \n
<color=#ffc50a>Assurez vous d'avoir un râtelier vide pour entreposer vos kits.</color> \n
Les râteliers peuvent entreposer jusqu'à <color=#ffc50a>4 kits de la même sorte par râtelier</color>."
##gamemenu_help_popup_equiphalberdier,Équiper un Hallebardier
##gamemenu_help_popup_equiphalberdier_text,"- Sélectionnez un <color=#ffc50a>Bricktron</color>. \n
- Faites <color=#ffc50a>Clic-Droit</color> sur le <color=#ffc50a>râtelier contenant un kit d'hallebardier</color>. \n
Pour le déséquiper, faites Clic-Droit à nouveau sur un râtelier."
##gamemenu_help_popup_craftlantern,Fabriquer une Lanterne
##gamemenu_help_popup_craftlantern_text,"Le monde de Castle Story a un <color=#ffc50a>cycle circadien</color>. \n
Heureusement, vous pouvez fabriquer des <color=#ffc50a>Lanternes</color> pour augmenter votre visibilité. \n
- Sélectionnez l'<color=#ffc50a>Établi</color> et ouvrez le menu contextuel. \n
- Choisissez la <color=#ffc50a>Lanterne</color>. \n
La lanterne requiert un lingot et du soufre pour être fabriquée."
##gamemenu_help_popup_placelantern,Placer une Lanterne
##gamemenu_help_popup_placelantern_text,
##gamemenu_help_popup_buildingwall,Construire un Mur
##gamemenu_help_popup_buildingwall_text,"- Sélectionnez l'onglet <color=#ffc50a>Blocs de Pierre</color>. \n
- Sélectionnez la <color=#ffc50a>Brique</color>. \n
Vous pouvez placez ces blocs les uns par dessus les autres pour faire un mur! N'hésitez pas à utiliser les autres blocs pour bâtir des structures plus complexes.."
##gamemenu_help_popup_buildingwall_tooltip,
##gamemenu_help_popup_plantsloom,Métier à Tisser et Fibre Végétale
##gamemenu_help_popup_plantsloom_text,"Le métier à tisser vous permettra de transformer de la fibre végétale en corde ou en textile, utile dans la confection d'équipement militaire.
- Placez une <color=#ffc50a>Tâche de Récolte</color> sur des plantes et <color=#00ff15>confirmez</color>. \n
<color=#ffc50a>Assurez-vous d'avoir des palettes vides pour entreposer vos plantes.</color> \n
- Placez le <color=#ffc50a>Métier à Tisser</color> sur le sol et <color=#00ff15>confirmez</color>. Vous le trouverez dans l'onglet Structures dans la section Production.
"
##gamemenu_help_popup_fabricrope,Faire de la Corde et du Textile
##gamemenu_help_popup_fabricrope_text,"Maintenant que vous avez de la fibre végétale, vous pouvez entreprendre la confection de corde et de textile. \n
- Sélectionnez le Métier à Tisser. \n
- Au bas de votre écran, avec la fenêtre contextuelle de l'établi, vous pouvez sélectionner ce que vous désirez produire. \n
- Cliquez sur la <color=#ffc50a>Corde</color> pour produire un ballot de corde. \n
Après avoir obtenu de la corde, sélectionnez le métier à tisser et cliquez sur le <color=#ffc50a>Textile</color> pour produire un rouleau de textile. \n
<color=#ffc50a>Assurez-vous d'avoir des palettes vides pour entreposer votre corde et votre textile.</color>"
##gamemenu_help_popup_queuearcher,Fabriquer un Kit D'Archer
##gamemenu_help_popup_queuearcher_text,"- <color=#ffc50a>Sélectionnez L'Établi.</color> \n
- Au bas de votre écran, avec la fenêtre contextuelle de l'établi, vous pouvez sélectionner ce que vous désirez produire. \n
- <color=#ffc50a>Cliquez sur le le Kit d'Archer.</color> pour commencer la production \n
- Vous pouvez ajouter plusieurs kits à la file de production en cliquant sur l'icone plusieurs fois. \n
<color=#ffc50a>Assurez vous d'avoir un râtelier vide pour entreposer vos kits.</color> \n
Les râteliers peuvent entreposer jusqu'à <color=#ffc50a>4 kits de la même sorte par râtelier</color>."
##gamemenu_help_popup_equiparcher,Équiper un Archer
##gamemenu_help_popup_equiparcher_text,"- Sélectionnez un <color=#ffc50a>Bricktron</color>. \n
- Faites <color=#ffc50a>Clic-Droit</color> sur le <color=#ffc50a>râtelier contenant un kit d'archer</color>. \n
Pour le déséquiper, faites Clic-Droit à nouveau sur un râtelier qui contient moins de 3 kits d'archer!"
##gamemenu_help_popup_spawnbricktron,Invoquer un Bricktron
