Keys,English (Canada)
##mainmenu_options_keybindings_selectproject4,Select Project 4
##mainmenu_options_keybindings_selectproject5,Select Project 5
##mainmenu_options_keybindings_selectproject6,Select Project 6
##mainmenu_options_keybindings_selectproject7,Select Project 7
##mainmenu_options_keybindings_selectproject8,Select Project 8
##mainmenu_options_keybindings_selectproject9,Select Project 9
##mainmenu_options_keybindings_selectproject10,Select Project 10
##mainmenu_options_keybindings_openchat,Open Chat
##mainmenu_options_keybindings_createproject,Create Project
##mainmenu_options_keybindings_createharvest,Create Harvest Task
##mainmenu_options_keybindings_createharvestwood,Create Harvest Wood Task
##mainmenu_options_keybindings_createharvestboulder,Create Harvest Boulder Task
##mainmenu_options_keybindings_createharvestiron,Create Harvest Iron Task
##mainmenu_options_keybindings_createharvestbrimstone,Create Harvest Brimstone Task
##mainmenu_options_keybindings_createharvestplant,Create Harvest Plant Task
##mainmenu_options_keybindings_createcleaning,Create Cleaning Task
##mainmenu_options_keybindings_createquarry,Create Quarry Task
##mainmenu_options_keybindings_createrepair,Create Repair Task
##mainmenu_options_keybindings_createbuild,Create Build Task
##mainmenu_options_keybindings_createlandscape,Create Flatten Task
##mainmenu_options_keybindings_createtunnel,Create Tunnel Task
##mainmenu_options_keybindings_raisepriority,Raise Task Priority
##mainmenu_options_keybindings_lowerpriority,Lower Task Priority
,
##mainmenu_options_keybindings_openblueprints,Open Blueprint Management
##mainmenu_options_keybindings_taskactionslot1,Task Action 1
##mainmenu_options_keybindings_taskactionslot2,Task Action 2
##mainmenu_options_keybindings_taskactionslot3,Task Action 3
##mainmenu_options_keybindings_taskactionslot4,Task Action 4
##mainmenu_options_keybindings_taskactionslot5,Task Action 5
##mainmenu_options_keybindings_taskactionslot6,Task Action 6
##mainmenu_options_keybindings_deletetask,Delete Task
##mainmenu_options_keybindings_queueslot1,Crafting Queue Slot 1
##mainmenu_options_keybindings_queueslot2,Crafting Queue Slot 2
##mainmenu_options_keybindings_queueslot3,Crafting Queue Slot 3
##mainmenu_options_keybindings_queueslot4,Crafting Queue Slot 4
##mainmenu_options_keybindings_queueslot5,Crafting Queue Slot 5
##mainmenu_options_keybindings_toggleloop,Crafting Toggle Loop
##mainmenu_options_keybindings_clearqueue,Clear Crafting Queue
,
##mainmenu_options_keybindings_blueprints_duplicate,Duplicate Selected Blueprints
##mainmenu_options_keybindings_blueprints_delete,Delete Selected Blueprints
##mainmenu_options_keybindings_blueprints_expand,Expand Selected Blueprints
##mainmenu_options_keybindings_blueprints_clear,Clear Selected Blueprints
,
##mainmenu_options_keybindings_calltoarms,Call-to-Arms
##mainmenu_options_keybindings_backtowork,Back to Work
##mainmenu_options_keybindings_buildstructures,Build Structures
##mainmenu_options_keybindings_stockpile,Select Stockpile
##mainmenu_options_keybindings_weaponrack,Select Weaponrack
##mainmenu_options_keybindings_workbench,Select Workbench
##mainmenu_options_keybindings_loom,Select Loom
##mainmenu_options_keybindings_choppingblock,Select Chopping Block
##mainmenu_options_keybindings_forge,Select Forge
##mainmenu_options_keybindings_machineshop,Select Machine Shop
##mainmenu_options_keybindings_altar,Select Altar
##mainmenu_options_keybindings_laboratory,Select Laboratory
##mainmenu_options_keybindings_ropebridge,Select Rope Bridge
##mainmenu_options_keybindings_furnace,Select Furnace
##mainmenu_options_keybindings_catapult,Select Catapult
##mainmenu_options_keybindings_door,Select Door
##mainmenu_options_keybindings_pylonward,Select Pylon Ward
##mainmenu_options_keybindings_sentinelward,Select Sentinel Ward
##mainmenu_options_keybindings_healingward,Select Healing Ward
##mainmenu_options_keybindings_captureward,Select Capture Ward
##mainmenu_options_keybindings_lanternward,Select Lantern Ward
##mainmenu_options_keybindings_explosivebarrel,Select Explosive Barrel
##mainmenu_options_keybindings_beartrap,Select Bear Trap
##mainmenu_options_keybindings_buildblocks,Build Blocks
##mainmenu_options_keybindings_doublebrick,Select Double Brick
##mainmenu_options_keybindings_stairbrick,Select Stairs
##mainmenu_options_keybindings_halfstair,Select Half Stair
##mainmenu_options_keybindings_stairspiralleft,Select Spiral Stair Left
##mainmenu_options_keybindings_stairspiralright,Select Spiral Stair Right
##mainmenu_options_keybindings_staircornerleft,Select Stair Corner Left
##mainmenu_options_keybindings_staircornerright,Select Stair Corner Right
##mainmenu_options_keybindings_staircornersimple,Select Stair Corner Simple
##mainmenu_options_keybindings_plugbrick,Select Plug Brick
##mainmenu_options_keybindings_plugh,Select H Plug
##mainmenu_options_keybindings_plugl,Select L Plug
##mainmenu_options_keybindings_plugt,Select T Plug
##mainmenu_options_keybindings_plugx,Select X Plug
##mainmenu_options_keybindings_archbrick,Select Arch Brick
##mainmenu_options_keybindings_pillar,Select Pillar
##mainmenu_options_keybindings_roundbrick,Select Round Brick
##mainmenu_options_keybindings_roundright,Select Round Brick Right
##mainmenu_options_keybindings_roundleft,Select Round Brick Left
##mainmenu_options_keybindings_roundhalf,Select Round Brick Half
##mainmenu_options_keybindings_parapet,Select Parapet
##mainmenu_options_keybindings_parapet2,Select Parapet2
##mainmenu_options_keybindings_parapet3,Select Parapet3
##mainmenu_options_keybindings_halfbrick,Select Half Brick
##mainmenu_options_keybindings_plank,Select Plank
##mainmenu_options_keybindings_corbel,Select Corbel
##mainmenu_options_keybindings_corbel2,Select Corbel2
##mainmenu_options_keybindings_woodenramp,Select Wood Ramp
##mainmenu_options_keybindings_log,Select Log
##mainmenu_options_keybindings_brace,Select Brace
##mainmenu_options_keybindings_rampjunction,Select Ramp Junction
##mainmenu_options_keybindings_woodcolumn,Select Wood Column
##mainmenu_options_keybindings_woodbeam,Select Wood Beam
##mainmenu_options_keybindings_merlon,Select Merlon
##mainmenu_options_keybindings_merlondouble,Select Merlon Double
##mainmenu_options_keybindings_merloncorner,Select Merlon Convex
##mainmenu_options_keybindings_merlonconcave,Select Merlon Concave
,
##mainmenu_options_keybindings_terrain_menutoggle,Toggle terrain menu
##mainmenu_options_keybindings_markers_menutoggle,Toggle markers menu
##mainmenu_options_keybindings_time_menutoggle,Toggle time menu
##mainmenu_options_keybindings_map_menutoggle,Toggle map menu
##mainmenu_options_keybindings_grid_menutoggle,Toggle grid menu
##mainmenu_options_keybindings_modes_menutoggle,Toggle modes menu
##mainmenu_options_keybindings_saves_menutoggle,Toggle save menu
##mainmenu_options_keybindings_workshop_menutoggle,Toggle workshop menu
##mainmenu_options_keybindings_letters_menutoggle,Toggle letters menu
##mainmenu_options_keybindings_grid_toggle,Toggle grid
,
##mainmenu_options_keybindings_tool_underside,Underside brush
##mainmenu_options_keybindings_tool_create,Create island brush
##mainmenu_options_keybindings_tool_raise,Raise brush
##mainmenu_options_keybindings_tool_flatten,Flatten brush
##mainmenu_options_keybindings_tool_smooth,Smooth brush
##mainmenu_options_keybindings_tool_grass,Grass brush
##mainmenu_options_keybindings_tool_tree,Tree brush
##mainmenu_options_keybindings_tool_plant,Plant brush
##mainmenu_options_keybindings_tool_boulder,Boulder brush
##mainmenu_options_keybindings_tool_iron,Iron brush
##mainmenu_options_keybindings_tool_brimstone,Brimstone brush
,
##mainmenu_options_keybindings_tool_player,Player brush
##mainmenu_options_keybindings_tool_enemy,Enemy brush
##mainmenu_options_keybindings_tool_crystal,Crystal brush
,
##mainmenu_options_key_space,Space
##mainmenu_options_key_leftshift,Left Shift
##mainmenu_options_key_rightshift,Right Shift
##mainmenu_options_key_leftalt,Left Alt
##mainmenu_options_key_rightalt,Right Alt
##mainmenu_options_key_leftctrl,Left Ctrl
##mainmenu_options_key_rightctrl,Right Ctlr
##mainmenu_options_key_leftarrow,Left Arrow
##mainmenu_options_key_rightarrow,Right Arrow
##mainmenu_options_key_uparrow,Up Arrow
##mainmenu_options_key_downarrow,Down Arrow
##mainmenu_options_key_delete,Delete
##mainmenu_options_key_insert,Insert
##mainmenu_options_key_home,Home
##mainmenu_options_key_end,End
##mainmenu_options_key_mwu,Mouse Wheel Up
##mainmenu_options_key_mwd,Mouse Wheel Down
##mainmenu_options_key_mw,MouseWheel
##mainmenu_options_key_lmb,Left Mouse Button
##mainmenu_options_key_rmb,Right Mouse Button
##mainmenu_options_key_mmb,Middle Mouse Button
##mainmenu_options_key_xxxmb,#xxx Mouse Button
,
##mainmenu_options_assignkeybind,Assign Key Binding
##mainmenu_options_assignkeybind_message,Press any key to assign or press #xxx to unassign.
##mainmenu_options_assignkeybind_conflict,Conflict
##mainmenu_options_assignkeybind_unbindwarning,Clicking Ok will unbind conflicting keys.
##mainmenu_options_assignkeybind_ok,Ok
##mainmenu_options_assignkeybind_cancel,Cancel
##mainmenu_options_assignkeybind_none,None
,
##mainmenu_options_revert,Revert
##mainmenu_options_revert_message,Are you sure you want to discard all of your custom settings?
##mainmenu_options_revert_message_ok,Yes - Revert to factory settings
##mainmenu_options_revert_message_cancel,No - Cancel
,
##mainmenu_options_unsaved,Unsaved changes
##mainmenu_options_unsaved_message,You are about to leave.\nApply unsaved changes?
##mainmenu_options_unsaved_apply,"Yes, apply."
##mainmenu_options_unsaved_discard,"No, discard."
##mainmenu_options_unsaved_cancel,Decide later - Go back to the options menu
,
##mainmenu_options_enabled,Enabled
##mainmenu_options_disabled,Disabled
,
##mainmenu_ok,Ok
##mainmenu_cancel,Cancel
,
##mainmenu_exit,Exit
##mainmenu_exit_message,Are you sure you want to exit the application?
##mainmenu_exit_confirmexit,Exit
##mainmenu_exit_cancelexit,Cancel
,
##mainmenu_wiki,Wiki
##mainmenu_home,Home
##mainmenu_news,Latest News
,
LOADING,
##loading_title_waitingplayers,Waiting for other players
##loading_title_waitinghost,Waiting for host
##loading_title_step1,Initializing scripts
##loading_title_step2,Physicalizing landform
##loading_title_step3,Planting trees
##loading_title_step4,Growing crystals
##loading_title_step5,Entering world...
##loading_title_error,Error
##loading_title_tips,Tips and Tricks
##loading_title_warning,Warning
##loading,Loading
##loading_abort_message,":( A problem occurred during loading. Please try again! If this keeps happening, you may have corrupted files. Uninstall the game, delete local files and reinstall the game. You can also contact us on support.castlestory.net "
##loading_ok,Ok
##loading_abort,Abort
##loading_cancel,Cancel
##loading_back,Back to main menu
,
GAME MENU,
##gamemenu,Menu
##gamemenu_help,Help
##gamemenu_return,Back to game
##gamemenu_savegame,Save game
##gamemenu_savegame_info,Save your progress
##gamemenu_savegame_newsave,New save
##gamemenu_savegame_similar,Similar
##gamemenu_savegame_other,Other
##gamemenu_savegame_preview,Preview
##gamemenu_savegame_fromcamera,From Camera
##gamemenu_savegame_fromsave,From Save
##gamemenu_savegame_save,Save
##gamemenu_savegame_overwrite,Save (Overwrite)
##gamemenu_savegame_untitled_filename,Untitled
##gamemenu_savegame_failure,Save Failure
##gamemenu_savegame_failure_message,Could not save game. Please try again.
##gamemenu_savegame_failure_ok,Ok
##gamemenu_savegame_name,Name
##gamemenu_savegame_name_info,Type in a name for your save
,
##gamemenu_cancel,Cancel
##gamemenu_quit,Quit
##gamemenu_quit_info,Return to main menu
##gamemenu_quit_game,Quit Game
##gamemenu_quit_message,"Are you sure you want to quit the current game?
<color=red>All unsaved changes will be lost.</color>"
##gamemenu_quit_exitdesktop,Exit to desktop
##gamemenu_quit_leavegame,Leave game
,
##gamemenu_score,Score
##gamemenu_home,Home
##gamemenu_paused,Game Paused
##gamemenu_paused_text,Press P to unpause
,
,
HELP POPUPS,
##gamemenu_help_popup_intro,Getting Started
##gamemenu_help_popup_intro_text,<color=#ffc50a>This is your Home Crystal</color>. Protect it at all costs!
##gamemenu_help_popup_intro_tooltip,<color=#ffc50a>This is your Home Crystal</color>
##gamemenu_help_popup_movecamera,Moving the Camera
##gamemenu_help_popup_movecamera_text,"- Use the <color=#ffc50a>W, A, S and D</color> keys to move the camera around."
##gamemenu_help_popup_rotatecamera,Rotating the Camera
##gamemenu_help_popup_rotatecamera_text,"- Hold the <color=#ffc50a>Middle Mouse Button</color> to rotate the camera in any angle. \n
- You can also use the <color=#ffc50a>Q, E, PgUp and PgDn</color> keys to rotate and zoom the camera."
##gamemenu_help_popup_homecrystal,Home Crystal
##gamemenu_help_popup_homecrystal_text,
##gamemenu_help_popup_homecrystal_tooltip,This is your <color=#ffc50a>Home Crystal</color>. Protect it at all costs!
##gamemenu_help_popup_harvestwood,Harvesting Wood
##gamemenu_help_popup_harvestwood_text,"- Click on the <color=#ffc50a>Pickaxe</color> on the left side of your screen. \n
- Select the <color=#ffc50a>Harvest Trees task</color>. \n
- Place it on some trees. \n
- Click on the <color=#00ff15>green checkmark</color> at the bottom left of your screen, or press <color=#ffc50a>""Tab""</color> to confirm. \n
Your Bricktrons will automatically start harvesting some wood for you!"
##gamemenu_help_popup_makechoppingblock,Making Planks
##gamemenu_help_popup_makechoppingblock_text,"- Select the <color=#ffc50a>Structures tab</color> on the left side of your screen. \n 
- In the <color=#ffc50a>Production</color> section, select the <color=#ffc50a>Chopping Block</color>. \n
- Place it on the ground. \n
You can <color=#ffc50a>delete blueprints</color> by <color=#ffc50a>ctrl + clicking</color> on the blueprint when in edit mode. \n
- Click on the <color=#00ff15>green checkmark</color> at the bottom left of your screen, or press <color=#ffc50a>""Tab""</color> to confirm. \n
Bricktrons will automatically begin to haul logs to the chopping block and <color=#ffc50a>produce planks</color>."
##gamemenu_help_popup_buildstockpiles,Build Stockpiles
##gamemenu_help_popup_buildstockpiles_text,"- Select the <color=#ffc50a>Structures tab</color> on the left side of your screen. \n 
- In the <color=#ffc50a>Storage</color> section, select the <color=#ffc50a>Stockpile</color>. \n
- Place several on the ground by clicking several times, or dragging across a flat surface. \n
You can <color=#ffc50a>delete blueprints</color> by <color=#ffc50a>ctrl + clicking</color> on the blueprint when in build mode. \n
- Click on the <color=#00ff15>green checkmark</color> at the bottom left of your screen, or press <color=#ffc50a>""Tab""</color> to confirm. \n
If your Bricktrons won't work, make sure you have empty stockpiles."
##gamemenu_help_popup_harveststone,Digging a Quarry
##gamemenu_help_popup_harveststone_text,"- Click on the <color=#ffc50a>Pickaxe</color> on the left side of your screen. \n
- Select the <color=#ffc50a>Quarry task</color>. \n
- Place it on <color=##fc50a>empty ground</color>. \n
- Click on the <color=#00ff15>green checkmark</color> at the bottom left of your screen, or press <color=#ffc50a>""Tab""</color> to confirm. \n
When a stockpile is <color=#ffc50a>completely filled with stone</color>, the stone will turn into <color=#ffc50a>4 bricks</color>. \n"
##gamemenu_help_popup_buildtips,Construction Tips
##gamemenu_help_popup_buildtips_text,"Here are some useful construction tips. \n
You can <color=#ffc50a>rotate blueprints</color> before placing them them by <color=#ffc50a>right-clicking</color>. \n
You can <color=#ffc50a>delete blueprints</color> by <color=#ffc50a>ctrl + clicking</color> on the blueprint when in edit mode. \n
You can ask Bricktrons to <color=#ffc50a>destroy a construction</color> by <color=#ffc50a>ctrl + clicking</color> on it when in a build task. \n
You can <color=#ffc50a>duplicate, move, and manipulate blueprints</color> by using the Blueprints tool in the Plans tab on the left middle side of your screen when in a build task."
##gamemenu_help_popup_buildfurnace,Build a Furnace
##gamemenu_help_popup_buildfurnace_text,"- Select the <color=#ffc50a>Structures tab</color> on the left side of your screen. \n 
- Select the <color=#ffc50a>Furnace</color>. \n
- Place one by clicking on the ground. \n
You can <color=#ffc50a>rotate blueprints</color> before placing them them by <color=#ffc50a>right-clicking</color>. \n
- Click on the <color=#00ff15>green checkmark</color> at the bottom left of your screen, or press <color=#ffc50a>""Tab""</color> to confirm. \n
With a furnace, you can now use iron ore and brimstone to obtain iron ingots."
##gamemenu_help_popup_harvestbrimstoneiron,Iron & Brimstone
##gamemenu_help_popup_harvestbrimstoneiron_text,"Iron and Brimstone are useful to produce iron ingots, wards and other items and structures. \n
Harvest some iron AND brimstone. \n
- Click on the <color=#ffc50a>Pickaxe</color> on the left side of your screen. \n
- Select the <color=#ffc50a>Iron or Brimstone harvest task</color>. \n
- Place it on a patch of iron or brimstone. \n
- <color=#00ff15>Confirm</color>. \n
You need to gather <color=#ffc50a>both iron and brimstone</color> to complete this objective. \n
<b>Make sure to have available stockpiles!</b>"
##gamemenu_help_popup_buildworkbench,Build a Workbench
##gamemenu_help_popup_buildworkbench_text,"- Make sure you have planks in one of your stockpiles. \n
- Select the <color=#ffc50a>Structures</color> tab. \n 
- In the <color=#ffc50a>Crafting</color> section, select the <color=#ffc50a>Workbench</color>. \n
- Place it on the ground. \n
- <color=#00ff15>Confirm</color>. \n
The workbench will allow you to craft archer and halberdier kits."
##gamemenu_help_popup_queueironingots,Make Iron Ingots
##gamemenu_help_popup_queueironingots_text,"- Select your <color=#ffc50a>furnace</color>. \n 
- A pop-up menu will open at the bottom of your screen. \n
- <color=#ffc50a>Click on the Iron ingot.</color> \n
- You can queue multiple ingots. \n
<color=#ffc50a> Make sure to have an empty stockpile to store your ingots.</color>"
##gamemenu_help_popup_buildweaponrack,Build Weapon Rack
##gamemenu_help_popup_buildweaponrack_text,"- Make sure you have planks in one of your stockpiles. \n
- Select the <color=#ffc50a>Structures tab</color>. \n 
- In the Storage section, select the <color=#ffc50a>Weapon Rack</color>. \n
- Place it on the ground. \n
- <color=#00ff15>Confirm</color>. \n
The Bricktrons will store unused or newly crafted military equipment in the weapon rack."
##gamemenu_help_popup_queuehalberdier,Queue Halberdier Kit
##gamemenu_help_popup_queuehalberdier_text,"- <color=#ffc50a>Select your workbench.</color> \n
- At the bottom of your screen, with the workbench pop-up, you can select what you want to craft. \n
- Click on the <color=#ffc50a>Halberdier Kit</color> to begin production. \n
- You can queue multiple kits by clicking on the Halberdier kit again. \n
<color=#ffc50a> Make sure to have an empty weapon rack to store your kits.</color> \n
A weapon racks can only hold <color=#ffc50a>4 military kits of a single type at once.</color>"
##gamemenu_help_popup_equiphalberdier,Equip Halberdier Kit
##gamemenu_help_popup_equiphalberdier_text,"- Select a <color=#ffc50a>Bricktron</color>. \n
- <color=#ffc50a>Right-click</color> (don't hold right-click) on the <color=#ffc50a>weapon rack containing the Halberdier Kit</color>. \n
To unequip the kit, select the Halberdier and right-click an empty weapon stand or one that contains 3 or less Halberdier kits."
##gamemenu_help_popup_craftlantern,Craft a Lantern
##gamemenu_help_popup_craftlantern_text,"The world of Castle Story has a <color=#ffc50a>Day / Night cycle</color>. \n
Fortunately, you can build <color=#ffc50a>Lanterns</color> to provide light and vision. \n
- Select the <color=#ffc50a>Workbench</color> and open the pie menu.
- Choose the <color=#ffc50a>Lantern</color>. \n
You will need an iron ingot and brimstone to craft a lantern."
##gamemenu_help_popup_placelantern,Placing Lanterns
##gamemenu_help_popup_placelantern_text,"Once you have stockpiled one or more <color=#ffc50a>Lanterns</color>, the easiest way to place them is with the <color=#ffc50a>Structures</color> tab. \n
Place a lantern blueprint where you want your Bricktrons to build it. They will carry it from the stockpile to the blueprint. \n
Optionally, link your lanterns to your home crystal with Pylons to make them shine brighter."
##gamemenu_help_popup_buildingwall,Building a Wall
##gamemenu_help_popup_buildingwall_text,"- Select the <color=#ffc50a>Stone Blocks</color> tab. \n
- Select the <color=#ffc50a>Brick</color>. \n
You can now place them on the ground or on top of each other to start building walls! Don't hesitate to use the other blocks to make more complex structures too."
##gamemenu_help_popup_buildingwall_tooltip,<color=#ffa500ff>Build walls directly around your home crystal to protect it from Corruptrons.</color>
##gamemenu_help_popup_plantsloom,Loom & Plants
##gamemenu_help_popup_plantsloom_text,"The Loom will allow you to refine plant fiber into rope and fabric, which are useful for military kits. \n
- Place a <color=#ffc50a>plant harvest task</color> over some plants and <color=#00ff15>confirm it</color>. \n
<color=#ffc50a>Make sure you have empty stockpiles to store the plants.</color> \n
- Place a <color=#ffc50a>loom blueprint</color> and <color=#00ff15>confirm it</color>. You'll find it under the structures tab under the Production section."
##gamemenu_help_popup_fabricrope,Making Rope & Fabric
##gamemenu_help_popup_fabricrope_text,"Now that you have plant fiber, lets make some rope and fabric. \n
- Select the loom. \n
- At the bottom of your screen, with the loom pop-up, you can select what you want to craft. \n
- Click on the <color=#ffc50a>Rope</color> to craft one rope coil. \n
Once you have some rope, select the loom again and click on the <color=#ffc50a>Fabric</color> to craft one fabric roll. \n
<color=#ffc50a>Make sure you have empty stockpiles to store both the fabric and the rope.</color>"
##gamemenu_help_popup_queuearcher,Queue Archer Kit
##gamemenu_help_popup_queuearcher_text,"- Select your workbench. \n
- At the bottom of your screen, with the workbench pop-up, you can select what you want to craft. \n
- Click on the <color=#ffc50a>Archer Kit</color> to begin production. \n
- You can queue multiple kits by clicking on the Archer kit again. \n
<color=#ffc50a> Make sure to have an empty weapon rack to store your kits.</color> \n
A weapon racks can only hold <color=#ffc50a>4 military kits of a single type at once.</color>"
##gamemenu_help_popup_equiparcher,Equip Archer Kit
##gamemenu_help_popup_equiparcher_text,"- Select a <color=#ffc50a>Bricktron</color>. \n
- <color=#ffc50a>Right-click</color> (don't hold right-click) on the <color=#ffc50a>weapon rack containing the Archer Kit</color>. \n
To unequip the kit, select the Archer and right-click an empty weapon rack or one that contains 3 or less Archer kits!"
##gamemenu_help_popup_spawnbricktron,Spawning Bricktrons
##gamemenu_help_popup_spawnbricktron_text,"To Spawn additionnal Bricktrons, you need to collect <color=#ffc50a>Wisps</color>. You can see your total number of wisps in the panel on the bottom left side of your screen. \n
Once that bar is full, you will see a <color=#ffc50a>Yellow Wisp</color> floating around your main crystal. \n
- To spawn a Bricktron, <color=#ffc50a>click</color> on the <color=#ffc50a>Bricktron icon</color> next to the progressing bar. \n"
##gamemenu_help_popup_outro,Need More Help?
##gamemenu_help_popup_outro_text,"If you need more help, check out the help panel by clicking on the question mark at the top right of your screen. \n
You can also visit the official Castle Story wiki on <color=#ffc50a>http://wiki.castlestory.net</color> \n
You can find other players to chat with on the official Castle Story Discord at <color=#ffc50a>http://castlestory.net/Discord</color>"
##gamemenu_help_popup_nextsection,Coming Next
##gamemenu_help_popup_nextsection_text,"This next section Will show you how to craft other military units and discuss more advanced aspects of the game. \n 
<color=#ffc50a>You can end this tutorial at any moment by turning it off in the options menu (F10)</color>."
##gamemenu_help_popup_startinvasion,Test your Might
##gamemenu_help_popup_startinvasion_text,"You are now free to continue to explore the game! \n
Want to put your Bricktrons to the test? Then press the <color=#ffc50a>Send Corruptron Wave button</color> on the <color=#ffc50a>left side of your screen</color>. \n
This will send a wave of Corruptrons to attack your crystal. \n
Try and see how many waves you can defeat!"
,
##gamemenu_help_popup_buildmorestockpiles,<color=#ff0064><size=12>You need more empty stockpiles!</size></color> Build additionnal stockpiles to continue harvesting resources.
##gamemenu_help_popup_toomanytasks,<color=#ff0064><size=12>You have too many tasks!</size></color> Delete some of your existing tasks to place new ones.
##gamemenu_help_popup_next,Continue
##gamemenu_help_popup_todisable,"<i>To disable these help popups, go in general options by pressing F10</i>"
,
Insert new tutorial sidebar strings below,
##help_sidebar_welcometocastlestory_title,Beginner's Guide
##help_sidebar_welcometocastlestory_text1,Welcome to Castle Story!
##help_sidebar_welcometocastlestory_text2,"In this tutorial, we will teach you the basics of playing the game.\n\nCastle Story is a complex game, so we recommend following it in it's entirety before diving deeper in other game modes. \n\n<color=#ffc50a>Let's get started!</color>\n"
##help_sidebar_welcometocastlestory_text3,"<color=#ffc50a>Pro tip: </color>if you do not want to see this tutorial, open the main menu and disable the tutorial in <color=#ffc50a>options / general > disable tooltips.</color>"
##help_sidebar_welcometocastlestory_button,Continue
##help_sidebar_welcometocastlestory_tooltip_title,Home Crystal
##help_sidebar_welcometocastlestory_tooltip_text,This is your Home Crystal. Defend it at all costs!
##help_sidebar_meetthebricktrons_title,The Basics
##help_sidebar_meetthebricktrons_text1,Meet the Bricktrons!
##help_sidebar_meetthebricktrons_text2,The Bricktrons
##help_sidebar_meetthebricktrons_text3,"<color=#ffc50a>Bricktrons</color> are friendly yellow creatures that will follow your orders. You can give them direct orders, or place down tasks that they will choose to do on their own."
##help_sidebar_meetthebricktrons_text4,Your Home Crystal
##help_sidebar_meetthebricktrons_text5,"The <color=#ffc50a>Home Crystal</color> is the heart of your civilization. You must defend it at all costs from marauding creatures or rival bricktron villages.\n\nThe Home Crystal is also <color=#ffc50a> your source of power</color>, and <color=#ffc50a>the only place to get more Bricktrons</color>."
##help_sidebar_meetthebricktrons_button,Continue
##help_sidebar_controllingthecamera_title,The Basics
##help_sidebar_controllingthecamera_text1,Controlling the camera
##help_sidebar_controllingthecamera_text2,Moving the camera
##help_sidebar_controllingthecamera_text3,Use the <color=#ffc50a>#hotkeys</color> keys to move the camera horizontally.
##help_sidebar_controllingthecamera_text4,<color=#ffc50a>Pro tip:</color> You can also enable screen edge nudge in options / gameplay
##help_sidebar_controllingthecamera_text5,Rotating the camera
##help_sidebar_controllingthecamera_text6,Use <color=#ffc50a>#hotkeys</color> or <color=#ffc50a>Middle Mouse Button</color> to rotate the camera around the pivot.
##help_sidebar_controllingthecamera_text7,Zooming in & out
##help_sidebar_controllingthecamera_text8,Use <color=#ffc50a>#hotkeys</color> or the <color=#ffc50a>Mouse Scroll Wheel</color> to zoom in and out.
##help_sidebar_controllingthecamera_text9,Changing the elevation
##help_sidebar_controllingthecamera_text10,Use <color=#ffc50a>Shift + Scroll Wheel</color> or <color=#ffc50a>#hotkeys</color> to change the elevation of the camera pivot.
##help_sidebar_controllingthecamera_text11,<color=#ffc50a>Pro tip:</color> You can force <color=#ffc50a>auto-ground-hug by pressing #hotkeys</color>.
##help_sidebar_controllingthecamera_button,Continue
##help_sidebar_issuingorders_title,The Basics
##help_sidebar_issuingorders_text1,Issuing Orders
##help_sidebar_issuingorders_text2,Selecting Bricktrons
##help_sidebar_issuingorders_text3,Use the <color=#ffc50a>Left Mouse Button</color> to select a Bricktron.\n\nYou can also <color=#ffc50a>Drag Select</color> to select multiple Bricktrons.\n\nOnce a Bricktron is selected a yellow circle will appear beneath its feet.
##help_sidebar_issuingorders_text4,"<color=#ffc50a>Pro tip :</color> If you <color=#ffc50a>Double Click</color> on a Bricktron, it will select all the Bricktrons of the same class (ie: workers, archers, knights, etc.)"
##help_sidebar_issuingorders_text5,Issuing Orders
##help_sidebar_issuingorders_text6,"With a selected Bricktron, <color=#ffc50a>Right Click</color> on the ground to give it a <color=#ffc50a>Move Order</color>.\n\nIf you <color=#ffc50a>Control + Right Click</color> on the ground, this will issue a <color=#ffc50a>Dig Order</color>.\n\n<color=#ffc50a>Control + Right Click</color> on bricks or structures will issue a <color=#ffc50a>Destroy Order</color>."
##help_sidebar_issuingorders_button,Continue
##help_sidebar_gatheringstuff_title,Resources
##help_sidebar_gatheringstuff_text1,Gathering Stuff
##help_sidebar_gatheringstuff_text2,"In Castle Story, you gather resource by placing down tasks. Left to themselves, Bricktrons will choose tasks based on priority, but you can also reassign them.\n\n<color=#ffc50a>Wood is the first resource you will want to gather</color>.\n\nLet's cut some trees!"
##help_sidebar_gatheringstuff_text3,Harvesting Wood
##help_sidebar_gatheringstuff_text4,"<color=#ffc50a>Press the Tasks button</color> at the center left of the screen, and choose the <color=#ffc50a>Harvest Wood task</color>.\n\n<color=#ffc50a>Click on a patch of trees</color>. You should see a yellow circle appear, highlighting all the trees in it.\n\n<color=#ffc50a>Press Tab</color> or the <color=#00ff15>Green Checkmark</color> to activate the task."
##help_sidebar_gatheringstuff_text5,<color=#ffc50a>Pro tip:</color> You can <color=#ffc50a>change the radius</color> of the harvest tasks by click-dragging the yellow circle or <color=#ffc50a>move the center</color> by dragging the pin in the middle.
##help_sidebar_gatheringstuff_button,Create a harvest wood task to continue
##help_sidebar_transformingrawresources_title,Resources
##help_sidebar_transformingrawresources_text1,Transforming raw resources
##help_sidebar_transformingrawresources_text2,"Now, you have a bunch of logs, but your Bricktrons don't know what to do with them.\n\nLet's create a <color=#ffc50a>Chopping Block</color> to transform them into <color=#ffc50a>planks</color>!"
##help_sidebar_transformingrawresources_text3,Creating a Chopping Block
